latin_name,activity_type,study_name,trial_number,state,objective_value,mean_auc,std_auc,stability_penalty,stability_penalty_score,feature_penalty,target_features,n_features,excess_features,feature_penalty_score,mean_abs_correlation,correlation_penalty,correlation_penalty_score
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,0,COMPLETE,-0.097908725501809,0.6856022076228488,0.023949018956861873,0.25,0.005987254739215468,0.001,10,37,27,0.766,0.23047356770884736,0.05,0.011523678385442368
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,1,COMPLETE,-0.27315301543666837,0.7629041573697027,0.09563709743359035,0.25,0.023909274358397587,0.001,10,41,31,1.002,0.20295796895947002,0.05,0.010147898447973501
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,2,COMPLETE,0.03301010628716894,0.8224555249460801,0.05200576476365305,0.25,0.013001441190913263,0.001,10,37,27,0.766,0.20887954935995715,0.05,0.010443977467997858
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,3,COMPLETE,-0.16908759353896854,0.8094442383824494,0.11499810810305917,0.25,0.028749527025764793,0.001,10,40,30,0.9400000000000001,0.19564609791306067,0.05,0.009782304895653035
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,4,COMPLETE,0.03719844204734448,0.7841506031591187,0.09796693604162099,0.25,0.024491734010405247,0.001,10,36,26,0.7120000000000001,0.20920854202737663,0.05,0.010460427101368831
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,5,COMPLETE,0.04292344458541358,0.839317970220454,0.08124268169753446,0.25,0.020310670424383614,0.001,10,37,27,0.766,0.20167710421313506,0.05,0.010083855210656753
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,6,COMPLETE,-0.29994852567971153,0.7915800821278706,0.05045844530281298,0.25,0.012614611325703245,0.001,10,42,32,1.066,0.25827992963757435,0.05,0.012913996481878718
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,7,COMPLETE,0.23511937450960818,0.7477411875954627,0.11590784519154343,0.25,0.028976961297885857,0.001,10,31,21,0.472,0.2328970357593739,0.05,0.011644851787968695
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,8,COMPLETE,0.045105424729869954,0.738992578966306,0.09202106998681218,0.25,0.023005267496703046,0.001,10,35,25,0.66,0.21763773479465884,0.05,0.010881886739732942
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,9,COMPLETE,0.26489451584987256,0.8559776212476584,0.07501897558536902,0.25,0.018754743896342255,0.001,10,33,23,0.562,0.20656723002887162,0.05,0.010328361501443582
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,10,COMPLETE,-0.04157595451117074,0.8100365364477439,0.07625938616121161,0.25,0.019064846540302903,0.001,10,38,28,0.8220000000000001,0.2109528883722322,0.05,0.01054764441861161
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,11,COMPLETE,0.4250650985383846,0.8112443931588308,0.09098835224640903,0.25,0.022747088061602257,0.001,10,28,18,0.35200000000000004,0.22864413117687765,0.05,0.011432206558843883
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,12,COMPLETE,0.08433052755695705,0.8309288277166115,0.09559657297158787,0.25,0.023899143242896968,0.001,10,36,26,0.7120000000000001,0.21398313833514707,0.05,0.010699156916757354
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,13,COMPLETE,0.17843177798555526,0.8134003239612055,0.055013625384326255,0.25,0.013753406346081564,0.001,10,34,24,0.6100000000000001,0.22430279259137226,0.05,0.011215139629568613
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,14,COMPLETE,-0.13774497023468202,0.773778286325331,0.07925780099670009,0.25,0.01981445024917502,0.001,10,39,29,0.88,0.23417612621675848,0.05,0.011708806310837925
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,15,COMPLETE,0.046097903169766814,0.7779381190308641,0.03618016759412847,0.25,0.009045041898532117,0.001,10,36,26,0.7120000000000001,0.21590347925130027,0.05,0.010795173962565014
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,16,COMPLETE,-0.6758208918679092,0.761612215627089,0.04361639047561972,0.25,0.01090409761890493,0.001,10,47,37,1.416,0.21058019752186657,0.05,0.010529009876093329
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,17,COMPLETE,-0.18214542585304164,0.7343815543401838,0.1078416200415116,0.25,0.0269604050103779,0.001,10,39,29,0.88,0.19133150365695145,0.05,0.009566575182847573
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,18,COMPLETE,0.02093748228327805,0.8049348738731449,0.026952612249852032,0.25,0.006738153062463008,0.001,10,37,27,0.766,0.2251847705480752,0.05,0.01125923852740376
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,19,COMPLETE,-0.1747519335756706,0.78479235390115,0.036782025101450795,0.25,0.009195506275362699,0.001,10,40,30,0.9400000000000001,0.20697562402915667,0.05,0.010348781201457834
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,20,COMPLETE,0.2171418611621702,0.7661389421903468,0.07918619275908927,0.25,0.019796548189772317,0.001,10,32,22,0.516,0.26401065676808677,0.05,0.01320053283840434
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,21,COMPLETE,0.2909696081971419,0.7492026050357431,0.06387976867275535,0.25,0.01596994216818884,0.001,10,30,20,0.43000000000000005,0.24526109340824687,0.05,0.012263054670412344
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,22,COMPLETE,0.2543565162756204,0.7939282899880676,0.043074491733000896,0.25,0.010768622933250224,0.001,10,32,22,0.516,0.256063015583941,0.05,0.012803150779197052
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,23,COMPLETE,0.1316078953204797,0.8197595691034666,0.06874806845038298,0.25,0.017187017112595744,0.001,10,35,25,0.66,0.21929313340782236,0.05,0.010964656670391119
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,24,COMPLETE,0.27052305659360804,0.8108025113804174,0.053012617184164335,0.25,0.013253154296041084,0.001,10,32,22,0.516,0.22052600981536413,0.05,0.011026300490768207
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,25,COMPLETE,0.2724255458807701,0.7790059234963458,0.08773213206640615,0.25,0.021933033016601537,0.001,10,31,21,0.472,0.25294689197948256,0.05,0.012647344598974129
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,26,COMPLETE,0.22634206469995263,0.7737528625199769,0.0794632070066266,0.25,0.01986580175165665,0.001,10,32,22,0.516,0.23089992136735185,0.05,0.011544996068367593
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,27,COMPLETE,0.2464977905757273,0.7938082420241986,0.07627737267952826,0.25,0.019069343169882066,0.001,10,32,22,0.516,0.2448221655717853,0.05,0.012241108278589265
