latin_name,activity_type,study_name,best_objective,mean_cv_auc,std_cv_auc,n_features,n_features_available,best_trial_number,n_trials,n_trials_pruned,n_trials_complete,stability_penalty,feature_penalty,correlation_penalty,min_presence,n_cv_folds,grid_size_m,n_background_points,background_method,transform_method
Nyctalus noctula,In flight,sdm_tuning_Nyctalus_noctula_In_flight,0.7989077262441611,0.8485179139556717,0.06938442291894793,17,68,373,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Pipistrellus pipistrellus,In flight,sdm_tuning_Pipistrellus_pipistrellus_In_flight,0.8059396266879791,0.8468340049189548,0.06783294819892481,16,68,483,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Pipistrellus pygmaeus,In flight,sdm_tuning_Pipistrellus_pygmaeus_In_flight,0.783961598906067,0.8262646035312771,0.08878226155979471,15,68,466,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis daubentonii,In flight,sdm_tuning_Myotis_daubentonii_In_flight,0.8364073086176065,0.8657103525053668,0.03473068560886868,15,68,366,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Plecotus auritus,In flight,sdm_tuning_Plecotus_auritus_In_flight,0.7811097189870203,0.8276318931765555,0.06822801695332245,16,68,205,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis nattereri,In flight,sdm_tuning_Myotis_nattereri_In_flight,0.7432715226547224,0.7977540222438181,0.10722248264802862,16,68,488,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Nyctalus leisleri,In flight,sdm_tuning_Nyctalus_leisleri_In_flight,0.7395308850259011,0.7922291937586019,0.04957871584591783,18,68,358,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis mystacinus,In flight,sdm_tuning_Myotis_mystacinus_In_flight,0.747919933921047,0.7969787674946471,0.12197918309526311,14,68,388,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Pipistrellus pipistrellus,Roost,sdm_tuning_Pipistrellus_pipistrellus_Roost,0.8838905589843287,0.9065706159220083,0.03110391231907364,14,68,402,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Nyctalus noctula,Roost,sdm_tuning_Nyctalus_noctula_Roost,0.7843027038531281,0.8193491047657973,0.04807626190187158,15,68,379,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Pipistrellus pygmaeus,Roost,sdm_tuning_Pipistrellus_pygmaeus_Roost,0.8822440966336517,0.9020258449798427,0.024258831012682787,13,68,478,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis mystacinus,Roost,sdm_tuning_Myotis_mystacinus_Roost,0.8751404367482092,0.9057468540593246,0.012650626805329093,16,68,499,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis daubentonii,Roost,sdm_tuning_Myotis_daubentonii_Roost,0.8121972444294618,0.8541661079838843,0.0392029647182726,17,68,493,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis nattereri,Roost,sdm_tuning_Myotis_nattereri_Roost,0.821704587368491,0.8821789269984355,0.03806779320514223,19,68,444,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Plecotus auritus,Roost,sdm_tuning_Plecotus_auritus_Roost,0.8251863103219276,0.8806677895113383,0.02083940398616406,19,68,290,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
Myotis brandtii,Roost,sdm_tuning_Myotis_brandtii_Roost,0.8342666951146022,0.8927500454700366,0.035657923506102376,19,68,471,500,0,500,0.25,0.0005,0.05,15,3,2000.0,8000,contrast,presence
